ind,type,regex,randomString
100,url,"^(ht|f)tp((?<=http)s)?://((?<=http://)www|(?<=https://)www|(?<=ftp://)ftp)\.(([a-z][0-9])|([0-9][a-z])|([a-z0-9][a-z0-9\-]{1,2}[a-z0-9])|([a-z0-9][a-z0-9\-](([a-z0-9\-][a-z0-9])|([a-z0-9][a-z0-9\-]))[a-z0-9\-]*[a-z0-9]))\.(co|me|org|ltd|plc|net|sch|ac|mod|nhs|police|gov)\.uk$",ftp://ftp://ftp.1nqi4ndhq36ya.me.uk
101,url,"^([a-zA-Z]\:|\\)\\([^\\]+\\)*[^\/:*?""<>|]+\.htm(l)?$",t:\>L\.{1xn mS\#-g#|&\KS.html
102,url,"^((https?|ftp)\://((\[?(\d{1,3}\.){3}\d{1,3}\]?)|(([-a-zA-Z0-9]+\.)+[a-zA-Z]{2,4}))(\:\d+)?(/[-a-zA-Z0-9._?,'+&amp;%$#=~\\]+)*/?)$",https://[724.585.43.46]:49163872/MZJh5rx_S/P/qcW'/7pVBUna2/
103,url,"^(http|https|ftp)\://[a-zA-Z0-9\-\.]+\.[a-zA-Z]{2,3}(:[a-zA-Z0-9]*)?/?([a-zA-Z0-9\-\._\?\,\'/\\\+&amp;%\$#\=~])*[^\.\,\)\(\s]$","http://u.mSq:wQg,+x.X3"
105,url,"^([a-zA-Z]\:)(\\[^\\/:*?<>""|]*(?<![ ]))*(\.[a-zA-Z]{2,6})$",k:\R^rSHM\l\wFa&Q`RVW\kE~IQ\6JC\iaQ=H)[bgr\dzU%p\G=\3J.j.CkG
106,url,\b(((\S+)?)(@|mailto\:|(news|(ht|f)tp(s?))\://)\S+)\b,[*dkC!N@+^k&~A
107,url,"^(http|https|ftp)\://(((25[0-5]|2[0-4][0-9]|1[0-9][0-9]|[1-9][0-9]|[0-9])\.){3}(25[0-5]|2[0-4][0-9]|1[0-9][0-9]|[1-9][0-9]|[0-9])|([a-zA-Z0-9_\-\.])+\.(com|net|org|edu|int|mil|gov|arpa|biz|aero|name|coop|info|pro|museum|uk|me))((:[a-zA-Z0-9]*)?/?([a-zA-Z0-9\-\._\?\,\'/\\\+&amp;%\$#\=~])*)$",ftp://Lrzk7.me/d'_
108,url,([a-zA-Z]:(\\w+)*\\[a-zA-Z0_9]+)?.xls,s:\w\wwwwwww\wwwwwwwww\9ullOgW@xls
109,url,^[a-zA-Z0-9\-\.]+\.(com|org|net|mil|edu|COM|ORG|NET|MIL|EDU)$,8WG.COM
110,url,(mailto\:|(news|(ht|f)tp(s?))\://)(([^[:space:]]+)|([^[:space:]]+)( #([^#]+)#)?),mailto:X]]]
111,url,[0-9A-Fa-f]{2}(\.?)[0-9A-Fa-f]{2}(\.?)[0-9A-Fa-f]{2}(\.?)[0-9A-Fa-f]{2},BEbd.7bdA
113,url,\.com/(\d+)$,.com/017
114,url,.*?$(?<!\.aspx), swDd1
115,url,(^[a-zA-Z0-9]+://),cb://
116,url,"^(([a-z][0-9])|([0-9][a-z])|([a-z0-9][a-z0-9\-]{1,2}[a-z0-9])|([a-z0-9][a-z0-9\-](([a-z0-9\-][a-z0-9])|([a-z0-9][a-z0-9\-]))[a-z0-9\-]*[a-z0-9]))\.(co|me|org|ltd|plc|net|sch|ac|mod|nhs|police|gov)\.uk$",8m.org.uk
117,url,^http://([a-zA-Z0-9_\-]+)([\.][a-zA-Z0-9_\-]+)+([/][a-zA-Z0-9\~\(\)_\-]*)+([\.][a-zA-Z0-9\(\)_\-]+)*$,http://Udxlf.9zOWn00.HhgmioRP.o9lh8U.x_.QJR.S.8XYX0AXFw-.3KSYg.x.2/AkA/ytQBS/AWTy)/ExM/rA54bg5zW/rTZa-SPaX/BTQwdXyDk1.OTzGqcNoE.).gT_0-D.Okwfd.CXoZC.Tm.pt._PO91q1.5
119,url,^\[assembly: AssemblyVersion\(\&quot;([0-9]+)\.([0-9]+)\.([0-9]+)\.([0-9]+),[assembly: AssemblyVersion(&quot;518879.272684111.67.1
120,numbers,"^(0|(\+)?[1-9]{1}[0-9]{0,8}|(\+)?[1-3]{1}[0-9]{1,9}|(\+)?[4]{1}([0-1]{1}[0-9]{8}|[2]{1}([0-8]{1}[0-9]{7}|[9]{1}([0-3]{1}[0-9]{6}|[4]{1}([0-8]{1}[0-9]{5}|[9]{1}([0-5]{1}[0-9]{4}|[6]{1}([0-6]{1}[0-9]{3}|[7]{1}([0-1]{1}[0-9]{2}|[2]{1}([0-8]{1}[0-9]{1}|[9]{1}[0-5]{1})))))))))$",1868003
121,numbers,"^(0*100{1,1}\.?((?<=\.)0*)?%?$)|(^0*\d{0,2}\.?((?<=\.)\d*)?%?)$",100..0%
122,numbers,"^100$|^[0-9]{1,2}$|^[0-9]{1,2}\,[0-9]{1,3}$",16
123,numbers,"^\d{0,2}(\.\d{1,2})?$",.1
124,numbers,"^\$?([1-9]{1}[0-9]{0,2}(\,[0-9]{3})*(\.[0-9]{0,2})?|[1-9]{1}[0-9]{0,}(\.[0-9]{0,2})?|0(\.[0-9]{0,2})?|(\.[0-9]{1,2})?)$",$.3
125,numbers,"^\$?([0-9]{1,3},([0-9]{3},)*[0-9]{3}|[0-9]+)(\.[0-9][0-9])?$",991518688
126,numbers,^[1-9]+[0-9]*$,85272299651
127,numbers,^(?!\u00a2)],]
129,numbers,"(?!0,?\d)",
131,numbers,"(?:([, .])\d{3})?",.685
135,numbers,(^\d*\.?\d*[1-9]+\d*$)|(^[1-9]+\d*\.\d*$),8553080.9
136,numbers,^\d*\.?\d*$,2929120.385
137,numbers,^[-+]?\d+(\.\d+)?$,89039087
138,numbers,"^(\d{1,3}'(\d{3}')*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{3})?)$",6.904
139,numbers,"^(\d|-)?(\d|,)*\.?\d*$","10,83."
140,numbers,"^(((\d{1,3})(,\d{3})*)|(\d+))(.\d+)?$","1,712,558,846,920,688,109,537,576U415881766"
141,numbers,^\$[0-9]+(\.[0-9][0-9])?$,$04385.78
142,numbers,^\d*\.?((25)|(50)|(5)|(75)|(0)|(00))?$,49350254400
143,numbers,"^((\d?)|(([-+]?\d+\.?\d*)|([-+]?\d*\.?\d+))|(([-+]?\d+\.?\d*\,\ ?)*([-+]?\d+\.?\d*))|(([-+]?\d*\.?\d+\,\ ?)*([-+]?\d*\.?\d+))|(([-+]?\d+\.?\d*\,\ ?)*([-+]?\d*\.?\d+))|(([-+]?\d*\.?\d+\,\ ?)*([-+]?\d+\.?\d*)))$","+63554.095395724, +702375060, -93250228.0742093, -.5226692,+4.85122061,0756027.9270320"
144,numbers,"^\$?([0-9]{1,3},([0-9]{3},)*[0-9]{3}|[0-9]+)(.[0-9][0-9])?$",873861
145,numbers,"^(\$|)([1-9]\d{0,2}(\,\d{3})*|([1-9]\d*))(\.\d{2})?$","$46,345,571,711,927,385.59"
146,numbers,"^\$?\-?([1-9]{1}[0-9]{0,2}(\,\d{3})*(\.\d{0,2})?|[1-9]{1}\d{0,}(\.\d{0,2})?|0(\.\d{0,2})?|(\.\d{1,2}))$|^\-?\$?([1-9]{1}\d{0,2}(\,\d{3})*(\.\d{0,2})?|[1-9]{1}\d{0,}(\.\d{0,2})?|0(\.\d{0,2})?|(\.\d{1,2}))$|^\(\$?([1-9]{1}\d{0,2}(\,\d{3})*(\.\d{0,2})?|[1-9]{1}\d{0,}(\.\d{0,2})?|0(\.\d{0,2})?|(\.\d{1,2}))\)$",-$.31
147,numbers,^(?!\u00a2),
148,numbers,"^\$?(\d{1,3},?(\d{3},?)*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{2})?)$",$96
149,numbers,^\d$,4
150,numbers,"^\d{1,5}(\.\d{1,2})?$",23575
151,numbers,"^\d{0,2}(\.\d{1,4})? *%?$",9      
152,numbers,^(?!\u00a2),
154,numbers,"(?!0,?\d)",
156,numbers,"(\,\d{3})*",",180,772"
158,numbers,(\.\d{2})?$,.75
159,numbers,"^([1-9]{0,1})([0-9]{1})(\.[0-9])?$",76
160,numbers,^-?\d*(\.\d+)?$,-
161,numbers,([0-9]+\.[0-9]*)|([0-9]*\.[0-9]+)|([0-9]+),7461.7938749422
162,numbers,(^[0-9]*[1-9]+[0-9]*\.[0-9]*$)|(^[0-9]*\.[0-9]*[1-9]+[0-9]*$)|(^[0-9]*[1-9]+[0-9]*$),3167566789.31
163,numbers,(^\d*\.?\d*[0-9]+\d*$)|(^[0-9]+\d*\.\d*$),7814953.43586605
164,numbers,"(^\d{3,5}\,\d{2}$)|(^\d{3,5}$)",93001
165,numbers,(^([0-9]+[.]+[0-9]+)|(0)$),4358324......72580679
166,numbers,^\d+$,3356051230
167,numbers,^([0-5]?\d?\d?\d?\d|6[0-4]\d\d\d|65[0-4]\d\d|655[0-2]\d|6553[0-5])$,65530
168,numbers,^[1-5]$,4
169,numbers,"^\$(\d{1,3}(\,\d{3})*|(\d+))(\.\d{2})?$","$668,352,743,604,093,748,679,546,564,742,736.71"
170,numbers,"^0$|^[1-9][0-9]*$|^[1-9][0-9]{0,2}(,[0-9]{3})$",0
171,numbers,^([0-9]*|\d*\.\d{1}?\d*)$,8775
172,numbers,^[0-9]*(\.)?[0-9]+$,.7
173,numbers,^[+-]?([0-9]*\.?[0-9]+|[0-9]+\.?[0-9]*)([eE][+-]?[0-9]+)?$,+853488146.7708
174,numbers,"(^(\+?\-? *[0-9]+)([,0-9 ]*)([0-9 ])*$)|(^ *$)",       
175,numbers,^[1-9]{1}$|^[1-4]{1}[0-9]{1}$|^50$,4
176,numbers,^[-+]?[1-9]\d*\.?[0]*$,18890225
177,numbers,"^(\d|,)*\d*$",862130188
178,numbers,^(\+|-)?\d+$,+8
179,numbers,^1?[1-9]$|^[1-2]0$,17
180,numbers,"^((4\d{3})|(5[1-5]\d{2}))(-?|\040?)(\d{4}(-?|\040?)){3}|^(3[4,7]\d{2})(-?|\040?)\d{6}(-?|\040?)\d{5}","3,61-56459132249"
181,numbers,^\d* \d*\/{1}\d*$|^\d*$,8556857
182,numbers,(^-\d*\.?\d*[1-9]+\d*$)|(^-[1-9]+\d*\.\d*$),-311724633765
183,numbers,"\$[0-9]?[0-9]?[0-9]?((\,[0-9][0-9][0-9])*)?(\.[0-9][0-9]?)?$","$18,829,821,633,871,945"
184,numbers,"^\d+(?:\.\d{0,2})?$",514.
185,numbers,"^(([+]\d{2}[ ][1-9]\d{0,2}[ ])|([0]\d{1,3}[-]))((\d{2}([ ]\d{2}){2})|(\d{3}([ ]\d{3})*([ ]\d{2})+))$",0766-44 23 71
186,numbers,^[+]?\d*$,+4701833970
187,numbers,"^\d{1,7}$",3140
188,numbers,"^\$?(\d{1,3}(\,\d{3})*|(\d+))(\.\d{0,2})?$",82
189,numbers,^\d(\d)?(\d)?$,5
190,numbers,^[1]$|^[3]$|^[4]$|^[6]$|^[1]0$,3
191,numbers,"^(\d|,)*\.?\d*$","501450,."
192,numbers,^\d?\d'(\d|1[01])&quot;$,10'7&quot;
193,numbers,^[-+]?\d*$,+3112085
194,numbers,"(^(((\d)|(\d\d)|(\d\d\d))(\xA0|\x20))*((\d)|(\d\d)|(\d\d\d))([,.]\d*)?$)",2 70 379 9 82 054
195,numbers,"^[-+]?[0-9]\d{0,2}(\.\d{1,2})?%?$",-52
196,numbers,"^\-?\(?([0-9]{0,3}(\,?[0-9]{3})*(\.?[0-9]*))\)?$","(646,619,440913,663689267389,384,149042577229)"
197,numbers,^\d*$,22200530
198,numbers,(^[0]{1}$|^[-]?[1-9]{1}\d*$),80965707253
199,numbers,"$%  \d{1,2}(?:\.\d{1,2})?",%  62.59
200,numbers,^\$?\d+(\.(\d{2}))?$,$301650
201,numbers,^[-+]?[0-9]+[.]?[0-9]*([eE][-+]?[0-9]+)?$,-076586871E2380517
202,numbers,^([1-9]|[1-9]\d|100)$,92
203,numbers,^[-+]?\d*\.?\d*$,+5386761.4704484
204,numbers,"^\$[+-]?([0-9]+|[0-9]{1,3}(,[0-9]{3})*)(\.[0-9]{1,2})?$",$336033982.07
205,numbers,"^\$?(\d{1,3},?(\d{3},?)*\d{3}(\.\d{0,2})?|\d{1,3}(\.\d{0,2})?|\.\d{1,2}?)$","$8961088,784164,775499,328314,648.6"
206,numbers,"^[-]?([1-9]{1}[0-9]{0,}(\.[0-9]{0,2})?|0(\.[0-9]{0,2})?|\.[0-9]{1,2})$",-8506330613.2
207,numbers,^[-+]?\d+(\.\d+)?|[-+]?\.\d+?$,-.80
209,numbers,"(?!^0*$)(?!^0*\.0*$)^\d{1,5}(\.\d{1,3})?$",208
210,numbers,"(^N/A$)|(^[-]?(\d+)(\.\d{0,3})?$)|(^[-]?(\d{1,3},(\d{3},)*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{1,3})?)$)",-4.70
211,numbers,"(^\$(\d{1,3},?(\d{3},?)*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{2})?)$|^\d{1,2}(\.\d{1,2})? *%$|^100%$)","$30,085029814711,412,136477438454494.642"
212,numbers,"^\d{1,8}$|^\d{1,3},\d{3}$|^\d{1,2},\d{3},\d{3}$","09,795"
213,numbers,"^([1-9]{1}[0-9]{0,7})+((,[1-9]{1}[0-9]{0,7}){0,1})+$","7538,7066,903143,61943,55663884,6142"
214,numbers,"^([0-9]*\,?[0-9]+|[0-9]+\,?[0-9]*)?$",
215,numbers,"\$[0-9]?[0-9]?[0-9]?((\,[0-9][0-9][0-9])*)?(\.[0-9][0-9])?$",$858
216,numbers,"^(\$)?((\d+)|(\d{1,3})(\,\d{3})*)(\.\d{2,})?$",$068467487.31455
217,numbers,"^1000([.][0]{1,3})?$|^\d{1,3}$|^\d{1,3}([.]\d{1,3})$|^([.]\d{1,3})$",1000
218,numbers,"^((\d{1,2})?([.][\d]{1,2})?){1}[%]{1}$",79.16%
219,numbers,"(\d{1,3},(\d{3},)*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{3})?)$",4
220,numbers,"^(\-)?1000([.][0]{1,3})?$|^(\-)?\d{1,3}$|^(\-)?\d{1,3}([.]\d{1,3})$|^(\-)?([.]\d{1,3})$",-97.30
222,numbers,"^\-?[0-9]{1,3}(\,[0-9]{3})*(\.[0-9]+)?$|^[0-9]+(\.[0-9]+)?$","-847,819,125,927,699,166,651,779,083.969"
223,numbers,"(0|(\+)?([1-9]{1}[0-9]{0,1}|[1]{1}[0-9]{0,2}|[2]{1}([0-4]{1}[0-9]{1}|[5]{1}[0-5]{1})))",4
224,numbers,(^[+]?\d*\.?\d*[1-9]+\d*$)|(^[+]?[1-9]+\d*\.\d*$),+33571866486672397.
225,numbers,"^(0|[-]{1}([1-9]{1}[0-9]{0,1}|[1]{1}([0-1]{1}[0-9]{1}|[2]{1}[0-8]{1}))|(\+)?([1-9]{1}[0-9]{0,1}|[1]{1}([0-1]{1}[0-9]{1}|[2]{1}[0-7]{1})))$",0
226,numbers,"^(\$\ |\$)?((0|00|[1-9]\d*|([1-9]\d{0,2}(\,\d{3})*))(\.\d{1,4})?|(\.\d{1,4}))$",0.8541
227,numbers,"^\$( )*\d*(.\d{1,2})?$",$        %5
228,numbers,"^(?=.*[1-9].*$)\d{0,7}(?:\.\d{0,9})?$",4@ 0*MQ[kQ3.
229,numbers,^[0-9]+$,396332538
230,numbers,"^-?[0-9]{0,2}(\.[0-9]{1,2})?$|^-?(100)(\.[0]{1,2})?$",-49
231,numbers,^(0)$|^([1-9][0-9]*)$,0
232,numbers,^[12345]$,3
233,numbers,"^(0|[-]{1}([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-8]{1})))))|(\+)?([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-7]{1}))))))$",0
234,numbers,"^(0|(\+)?([1-9]{1}[0-9]{0,3})|([1-5]{1}[0-9]{1,4}|[6]{1}([0-4]{1}[0-9]{3}|[5]{1}([0-4]{1}[0-9]{2}|[5]{1}([0-2]{1}[0-9]{1}|[3]{1}[0-5]{1})))))$",0
235,numbers,"(0|[1-9]{1}[0-9]{0,8}|[1]{1}[0-9]{1,9}|[-]{1}[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-8]{1}))))))))|(\+)?[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-7]{1})))))))))",2065749372
236,numbers,"^\d*[0-9](|.\d*[0-9]|,\d*[0-9])?$",498
237,numbers,"(?!^0*$)(?!^0*\.0*$)^\d{1,5}(\.\d{1,2})?$",0364.24
238,numbers,"(^[0-9]{1,8}|(^[0-9]{1,8}\.{0,1}[0-9]{1,2}))$",35005
240,strings,"(?!^[0-9]*$)(?!^[a-zA-Z]*$)^([a-zA-Z0-9]{6,15})$",yUr0Aw
241,strings,"^((4\d{3})|(5[1-5]\d{2})|(6011))-?\d{4}-?\d{4}-?\d{4}|3[4,7]\d{13}$",4944300815104569
242,strings,^([A-HK-PRSVWY][A-HJ-PR-Y])\s?([0][2-9]|[1-9][0-9])\s?[A-HJ-PR-Z]{3}$,MN	83TWA
243,strings,"^[A-CEGHJ-PR-TW-Z]{1}[A-CEGHJ-NPR-TW-Z]{1}[0-9]{6}[A-DFM]{0,1}$",SC509122A
244,strings,"^([\s\S]){1,20}([\s\.])","V""`m 7 "
245,strings,"^([A-Z]{1}[a-z]{1,})$|^([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$|^([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$|^$",
246,strings,"(^|\s)(00[1-9]|0[1-9]0|0[1-9][1-9]|[1-6]\d{2}|7[0-6]\d|77[0-2])(-?|[\. ])([1-9]0|0[1-9]|[1-9][1-9])\3(\d{3}[1-9]|[1-9]\d{3}|\d[1-9]\d{2}|\d{2}[1-9]\d)($|\s|[;:,!\.\?])",772.08.7268
248,strings,"\w{5,255}",McF4y
249,strings,^[a-zA-Z0-9]+$,Ss99I
250,strings,"^([1-9]{1}(([0-9])?){2})+(,[0-9]{1}[0-9]{2})*$","21503,884,155,684"
251,strings,^(\d{4}-){3}\d{4}$|^(\d{4} ){3}\d{4}$|^\d{16}$,6308-4978-4561-6300
252,strings,^(?!000)([0-6]\d{2}|7([0-6]\d|7[012]))([ -]?)(?!00)\d\d\3(?!0000)\d{4}$,771427040
253,strings,(script)|(&lt;)|(&gt;)|(%3c)|(%3e)|(SELECT) |(UPDATE) |(INSERT) |(DELETE)|(GRANT) |(REVOKE)|(UNION)|(&amp;lt;)|(&amp;gt;),REVOKE
254,strings,"^(?=[^\d_].*?\d)\w(\w|[!@#$%]){7,20}","$OOPoi""?e}_8YCIUQLqIVr3"
255,strings,^([0-9a-fA-F]){8}$,BA58FDbC
256,strings,"[v,V,(\\/)](\W|)[i,I,1,l,L](\W|)[a,A,@,(\/\\)](\W|)[g,G](\W|)[r,R](\W|)[a,A,@,(\/\\))]",")/i@,,RA"
257,strings,"^([A-Z|a-z|&amp;]{3}\d{2}((0[1-9]|1[012])(0[1-9]|1\d|2[0-8])|(0[13456789]|1[012])(29|30)|(0[13578]|1[02])31)|([02468][048]|[13579][26])0229)(\w{2})([A|a|0-9]{1})$|^([A-Z|a-z]{4}\d{2}((0[1-9]|1[012])(0[1-9]|1\d|2[0-8])|(0[13456789]|1[012])(29|30)|(0[13578]|1[02])31)|([02468][048]|[13579][26])0229)((\w{2})([A|a|0-9]{1})){0,3}$",760229fs3GM9dS3
258,strings,"^([A-Za-z0-9]\s?)+([,]\s?([A-Za-z0-9]\s?)+)*$",r8LFG
259,strings,^[{|\(]?[0-9a-fA-F]{8}[-]?([0-9a-fA-F]{4}[-]?){3}[0-9a-fA-F]{12}[\)|}]?$,5f1450cc-f56DC15d2DdE-aADd3226FEC2}
260,strings,"^[\.\w&#230;&#248;&#229;-]+@([a-z&#230;&#248;&#229;0-9]+([\.-]{0,1}[a-z&#230;&#248;&#229;0-9]+|[a-z&#230;&#248;&#229;0-9]?))+\.[a-z]{2,6}$",W&4SUh@ys.i5x042wypp.a;p79d8kirr3#9sdfb0fq9zwfx8i02l8e-1283zh6wfbrc2for6fq4rb.hgpjjm
262,strings,"((\\)|[^""(\\"")])+""","\D\\\4.Z\"""
263,strings,"^((?:4\d{3})|(?:5[1-5]\d{2})|(?:6011)|(?:3[68]\d{2})|(?:30[012345]\d))[ -]?(\d{4})[ -]?(\d{4})[ -]?(\d{4}|3[4,7]\d{13})$",3874798545575178
264,strings,^([30|36|38]{2})([0-9]{12})$,08887396036012
265,strings,^([51|52|53|54|55]{2})([0-9]{14})$,3247822237083803
266,strings,&lt;[^&gt;]+&gt;,&lt;uNr_j>=&gt;
267,strings,"^\s*[a-zA-Z,\s]+\s*$",		QChpX
268,strings,^\d{9}[\d|X]$,6273326098
269,strings,"^([1-zA-Z0-1@.\s]{1,255})$",c
270,strings,"^[0-9]{1,}(,[0-9]+){0,}$",92
271,strings,.*[Pp]en[Ii1][\$s].*,^F<PenIs$	IO46
272,strings,.*[Oo0][Ee][Mm].*,m(/oEM#+ZJf?_
274,strings,.*[Pp]re[Ss\$]cr[iI1]pt.*,^prescr1ptg:Oy
275,strings,^(?!^(PRN|AUX|CLOCK\$|NUL|CON|COM\d|LPT\d|\..*)(\..+)?$)[^\x00-\x1f\\?*&lt;&gt;:\;|\&quot;/]+$,LJQb+
276,strings,foo,foo
277,strings,"[\\s+,]",\
278,strings,"^([1-9]{1}[0-9]{3}[,]?)*([1-9]{1}[0-9]{3})$","52956142,9394,3491,167481971490,29718868"
279,strings,^[a-zA-Z]$,l
282,strings,^([A-Z]{3}\s?(\d{3}|\d{2}|d{1})\s?[A-Z])|([A-Z]\s?(\d{3}|\d{2}|\d{1})\s?[A-Z]{3})$,QPZd	H
283,strings,(&#217;|&#218;|&#219;|&#220;|&#249;|&#250;|&#251;|&#252;|&#181;|&amp;#085;|&amp;#117;|&amp;#181;|&amp;micro;|&amp;#217;|&amp;#218;|&amp;#219;|&amp;#220;|&amp;Ugrave;|&amp;Uacute;|&amp;Ucirc;|&amp;Uuml;|&amp;#249;|&amp;#250;|&amp;#251;&amp;#252;|&amp;ugrave;|&amp;uacute;|&amp;ucirc;|&amp;uuml;),&amp;#249;
284,strings,(&#161;|&#204;|&#205;|&#206;|&#207;|&#236;|&#237;|&#238;|&#239;|&amp;#033;|&amp;#161;|&amp;iexcl;|&amp;#185;|&amp;sup1;|&amp;brvbar;|&amp;Igrave;|&amp;Iacute;|&amp;Icirc;|&amp;Iuml;|&amp;igrave;|&amp;iacute;|&amp;iuml;|&amp;#204;|&amp;#205;|&amp;#206;|&amp;#207;|&amp;#236;|&amp;#237;|&amp;#238;|&amp;#239;|&amp;#073;|&amp;#105;),&amp;#185;
285,strings,(&#210;|&#211;|&#212;|&#213;|&#214;|&#216;|&#240;|&#242;|&#243;|&#244;|&#245;|&#246;|&#248;|&amp;#048;|&amp;#079;|&amp;#111;|&amp;#210;|&amp;#211;|&amp;#212;|&amp;#213;|&amp;#214;|&amp;#216;|&amp;Ograve;|&amp;Oacute;|&amp;Ocirc;|&amp;Otilde;|&amp;Ouml;|&amp;Oslash;|&amp;#242;|&amp;#243;|&amp;#244;|&amp;#245;|&amp;ograve;|&amp;oacute;|&amp;ocirc;|&amp;otilde;|&amp;ouml;|&amp;oslash;),&amp;oacute;
286,strings,(&#192;|&#193;|&#194;|&#195;|&#196;|&#197;|&#224;|&#225;|&#226;|&#227;|&#228;|&#229;|&amp;#097;|&amp;#065;|&amp;#064;|&amp;commat;|&amp;alpha;|&amp;#192;|&amp;#193;|&amp;#194;|&amp;#195;|&amp;#196;|&amp;#197;|&amp;Agrave;|&amp;Aacute;|&amp;Acirc;|&amp;Atilde;|&amp;Auml;|&amp;Aring;|&amp;#224;|&amp;#225;|&amp;#226;|&amp;#227;|&amp;#228;|&amp;#229;|&amp;agrave;|&amp;aacute;|&amp;acirc;|&amp;atilde;|&amp;auml;|&amp;aring;),&#226;
287,strings,(&#200;|&#201;|&#202;|&#203;|&#232;|&#233;|&#234;|&#235;|&amp;#069;|&amp;#101;|&amp;#200;|&amp;#201;|&amp;#202;|&amp;#203;|&amp;Egrave;|&amp;Eacute;|&amp;Ecirc;|&amp;Euml;|&amp;#232;|&amp;#233;|&amp;#234;|&amp;#235;|&amp;egrave;|&amp;eacute;|&amp;ecirc;|&amp;euml;),&#232;
288,strings,.\{\d\},6{7}
289,strings,"^(?=.*\d)(?=.*[a-z])(?=.*[A-Z]).{8,15}$",B8$+L4L^PgaOrq>bjAp#D:)~8-_
290,strings,"(?i)(pharmacy)|((p(.{1,3})?h(.{1,3})?a(.{1,3})?r(.{1,3)?m(.{1,3})?a(.{1,3})?c(.{1,3})?y))",pharmacy
291,strings,(\b)(\w+(\b|\n|\s)){3},e memyNs3RQA_9LYU
292,strings,^\.([rR]([aA][rR]|\d{2})|(\d{3})?)$,.
293,strings,^(\d{4}[- ]){3}\d{4}|\d{16}$,5548172524707318
294,strings,(\w+)\s+\1,kBuh	      kBuh
295,strings,^\d{3}-\d{2}-\d{4}$,795-53-4204
296,strings,(\d{6}[-\s]?\d{12})|(\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4}),6979	532434731579
297,strings,^((Bob)|(John)|(Mary)).*$(?<!White),BobyF
298,strings,"ISBN\x20(?=.{13}$)\d{1,5}([- ])\d{1,7}\1\d{1,6}\1(\d|X)$",ISBN xd)oqd2E8hdmc00 773412 25 X
300,strings,(\w(\s)?)+,Z 
301,strings,regex,regex
302,strings,^ISBN\s(?=[-0-9xX ]{13}$)(?:[0-9]+[- ]){3}[0-9]*[xX0-9]$,ISBN 95 23231187 039-516-54855444 4597618
303,strings,.*[\$Ss]pecia[l1]\W[Oo0]ffer.*,;FZ&N/specia1;0ffervi2@
306,strings,.*\$AVE|\$ave.*,$ave
307,strings,^\d{3}\s?\d{3}\s?\d{3}$,665075573
308,strings,.*[Vv][Ii1]agr.*,",U^P3eAN4v1agrNg%Q<TB@"
309,strings,"(.)\1{2,}",ttttttt
310,strings,"^(([a-h,A-H,j-n,J-N,p-z,P-Z,0-9]{9})([a-h,A-H,j-n,J-N,p,P,r-t,R-T,v-z,V-Z,0-9])([a-h,A-H,j-n,J-N,p-z,P-Z,0-9])(\d{6}))$",zlMsqtKngCL564595
311,strings,"^[a-zA-Z]+(([\'\,\.\-][a-zA-Z])?[a-zA-Z]*)*$",gEzLOBxt
312,strings,[AaEeIiOoUuYy],i
