,type,regex,randomString
98,url,^[a-z]+([a-z0-9-]*[a-z0-9]+)?(\.([a-z]+([a-z0-9-]*[a-z0-9]+)?)+)*$,iujyvcujcotfvthlj4aonbwb.ryqeqlwi7pphkbc4avpptfduljmwwgcmrjxnhyi6m8bztfspxnqnwhcgnqcwh-lcckz6flzohd3ggvryvvlyaw-hor5iftsjxzjymjzwfgcualf578ql.mxm269xcqpcwlfaewxa0l3yrsy-eoeyfeyanxxsfjwezs.sxphzg8krndh1mozlfxq71q6x3xmdcgajkfgftopwveksngikdy7o1pqaiyt2e4croyepnt.nwnnopnqsdzj2j0dq5wrpqaaucmqiglme.pstgiycbnzhbgvdv6ia77allojehmcimymndy30xricwozri.zhbqcpldjioztfwi8yqazdxptsx45qb7ztivg2jfthqhlwkgb1okk-kylyep0tnqvpip9-oogm1wwgk02xbkr.htinrnwa9dzssr84hacjtaibtyunbmqaqgne2y26fi8qqcbvo5rmwstddoojc.smczooaszrwyawkuenms7p39izdevnumwoheqlxhwdnmricefqbbwwinbmja5amiwvxbqsoyz0dmcqitcejih27fhvzxgtd8x.zcjaxejyhylx1hacjrzzyludnzmnoaamjixbrxg2ps191.aoky2y8luthde
99,url,&lt;a\s*.*?href\s*=\s*['&quot;](?!http:\/\/).*?&gt;(.*?)&lt;\/a&gt;,&lt;a  ihref   	 =			    &Y{&gt;G&lt;/a&gt;
100,url,"^(ht|f)tp((?<=http)s)?://((?<=http://)www|(?<=https://)www|(?<=ftp://)ftp)\.(([a-z][0-9])|([0-9][a-z])|([a-z0-9][a-z0-9\-]{1,2}[a-z0-9])|([a-z0-9][a-z0-9\-](([a-z0-9\-][a-z0-9])|([a-z0-9][a-z0-9\-]))[a-z0-9\-]*[a-z0-9]))\.(co|me|org|ltd|plc|net|sch|ac|mod|nhs|police|gov)\.uk$",ftp://http://www.92trq9h4.net.uk
101,url,"^([a-zA-Z]\:|\\)\\([^\\]+\\)*[^\/:*?""<>|]+\.htm(l)?$",\\oU*v?]+GA\W\~E.@VhyV9T.htm
102,url,"^((https?|ftp)\://((\[?(\d{1,3}\.){3}\d{1,3}\]?)|(([-a-zA-Z0-9]+\.)+[a-zA-Z]{2,4}))(\:\d+)?(/[-a-zA-Z0-9._?,'+&amp;%$#=~\\]+)*/?)$",ftp://[79.835.8.723]:5140/mC/0G89x-S/N44Q%ow/8hF/
103,url,"^(http|https|ftp)\://[a-zA-Z0-9\-\.]+\.[a-zA-Z]{2,3}(:[a-zA-Z0-9]*)?/?([a-zA-Z0-9\-\._\?\,\'/\\\+&amp;%\$#\=~])*[^\.\,\)\(\s]$",http://2XE.GN/yn_T
105,url,"^([a-zA-Z]\:)(\\[^\\/:*?<>""|]*(?<![ ]))*(\.[a-zA-Z]{2,6})$","d:\.evsAE0b\I~(n(dJ\s\XV)CMyX@f\JFO,g\LsHg_C~2,\,LoI!)J5sU\@;e.DNUcn"
106,url,\b(((\S+)?)(@|mailto\:|(news|(ht|f)tp(s?))\://)\S+)\b,mailto:^yF
107,url,"^(http|https|ftp)\://(((25[0-5]|2[0-4][0-9]|1[0-9][0-9]|[1-9][0-9]|[0-9])\.){3}(25[0-5]|2[0-4][0-9]|1[0-9][0-9]|[1-9][0-9]|[0-9])|([a-zA-Z0-9_\-\.])+\.(com|net|org|edu|int|mil|gov|arpa|biz|aero|name|coop|info|pro|museum|uk|me))((:[a-zA-Z0-9]*)?/?([a-zA-Z0-9\-\._\?\,\'/\\\+&amp;%\$#\=~])*)$",http://151.211.250.202/Cs
108,url,([a-zA-Z]:(\\w+)*\\[a-zA-Z0_9]+)?.xls,i:\gvSAzi?xls
109,url,^[a-zA-Z0-9\-\.]+\.(com|org|net|mil|edu|COM|ORG|NET|MIL|EDU)$,v9Si.org
110,url,(mailto\:|(news|(ht|f)tp(s?))\://)(([^[:space:]]+)|([^[:space:]]+)( #([^#]+)#)?),news://]]]]]
111,url,[0-9A-Fa-f]{2}(\.?)[0-9A-Fa-f]{2}(\.?)[0-9A-Fa-f]{2}(\.?)[0-9A-Fa-f]{2},9e2cf1d4
113,url,\.com/(\d+)$,.com/0143550264
114,url,.*?$(?<!\.aspx),/(S|-w	v>
115,url,(^[a-zA-Z0-9]+://),OxtEYCf0WD://
116,url,"^(([a-z][0-9])|([0-9][a-z])|([a-z0-9][a-z0-9\-]{1,2}[a-z0-9])|([a-z0-9][a-z0-9\-](([a-z0-9\-][a-z0-9])|([a-z0-9][a-z0-9\-]))[a-z0-9\-]*[a-z0-9]))\.(co|me|org|ltd|plc|net|sch|ac|mod|nhs|police|gov)\.uk$",6f.nhs.uk
117,url,^http://([a-zA-Z0-9_\-]+)([\.][a-zA-Z0-9_\-]+)+([/][a-zA-Z0-9\~\(\)_\-]*)+([\.][a-zA-Z0-9\(\)_\-]+)*$,http://rD.rMZu7f.Noc6.C5A.H19bcoN1.4gqGsO/Sh/Rwb5U)Q0Ac/-33Pp7ew/.6QZj.J(.p5RVJwSV9X.30X.ZGmwJ10hW.FwmjXVloc.5e.ecktIV9U.p
119,url,^\[assembly: AssemblyVersion\(\&quot;([0-9]+)\.([0-9]+)\.([0-9]+)\.([0-9]+),[assembly: AssemblyVersion(&quot;9884321267.96842857.2211.03
120,numbers,"^(0|(\+)?[1-9]{1}[0-9]{0,8}|(\+)?[1-3]{1}[0-9]{1,9}|(\+)?[4]{1}([0-1]{1}[0-9]{8}|[2]{1}([0-8]{1}[0-9]{7}|[9]{1}([0-3]{1}[0-9]{6}|[4]{1}([0-8]{1}[0-9]{5}|[9]{1}([0-5]{1}[0-9]{4}|[6]{1}([0-6]{1}[0-9]{3}|[7]{1}([0-1]{1}[0-9]{2}|[2]{1}([0-8]{1}[0-9]{1}|[9]{1}[0-5]{1})))))))))$",4112700189
121,numbers,"^(0*100{1,1}\.?((?<=\.)0*)?%?$)|(^0*\d{0,2}\.?((?<=\.)\d*)?%?)$",000000100.
122,numbers,"^100$|^[0-9]{1,2}$|^[0-9]{1,2}\,[0-9]{1,3}$",100
123,numbers,"^\d{0,2}(\.\d{1,2})?$",
124,numbers,"^\$?([1-9]{1}[0-9]{0,2}(\,[0-9]{3})*(\.[0-9]{0,2})?|[1-9]{1}[0-9]{0,}(\.[0-9]{0,2})?|0(\.[0-9]{0,2})?|(\.[0-9]{1,2})?)$",0
125,numbers,"^\$?([0-9]{1,3},([0-9]{3},)*[0-9]{3}|[0-9]+)(\.[0-9][0-9])?$",988
126,numbers,^[1-9]+[0-9]*$,9872585393418
127,numbers,^(?!\u00a2)],]
129,numbers,"(?!0,?\d)",
131,numbers,"(?:([, .])\d{3})?", 016
135,numbers,(^\d*\.?\d*[1-9]+\d*$)|(^[1-9]+\d*\.\d*$),2966426633.0
136,numbers,^\d*\.?\d*$,8433660.
137,numbers,^[-+]?\d+(\.\d+)?$,+7100132050
138,numbers,"^(\d{1,3}'(\d{3}')*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{3})?)$",8.341
139,numbers,"^(\d|-)?(\d|,)*\.?\d*$","606194,,9.011"
140,numbers,"^(((\d{1,3})(,\d{3})*)|(\d+))(.\d+)?$",5i748
141,numbers,^\$[0-9]+(\.[0-9][0-9])?$,$1134
142,numbers,^\d*\.?((25)|(50)|(5)|(75)|(0)|(00))?$,.
143,numbers,"^((\d?)|(([-+]?\d+\.?\d*)|([-+]?\d*\.?\d+))|(([-+]?\d+\.?\d*\,\ ?)*([-+]?\d+\.?\d*))|(([-+]?\d*\.?\d+\,\ ?)*([-+]?\d*\.?\d+))|(([-+]?\d+\.?\d*\,\ ?)*([-+]?\d*\.?\d+))|(([-+]?\d*\.?\d+\,\ ?)*([-+]?\d+\.?\d*)))$","-359669891, 6708101.027154,.6660031,-850417.8455, 6504.08306, 96734531.81041791"
144,numbers,"^\$?([0-9]{1,3},([0-9]{3},)*[0-9]{3}|[0-9]+)(.[0-9][0-9])?$",$1469124351o80
145,numbers,"^(\$|)([1-9]\d{0,2}(\,\d{3})*|([1-9]\d*))(\.\d{2})?$",$528594.36
146,numbers,"^\$?\-?([1-9]{1}[0-9]{0,2}(\,\d{3})*(\.\d{0,2})?|[1-9]{1}\d{0,}(\.\d{0,2})?|0(\.\d{0,2})?|(\.\d{1,2}))$|^\-?\$?([1-9]{1}\d{0,2}(\,\d{3})*(\.\d{0,2})?|[1-9]{1}\d{0,}(\.\d{0,2})?|0(\.\d{0,2})?|(\.\d{1,2}))$|^\(\$?([1-9]{1}\d{0,2}(\,\d{3})*(\.\d{0,2})?|[1-9]{1}\d{0,}(\.\d{0,2})?|0(\.\d{0,2})?|(\.\d{1,2}))\)$",$-.9
147,numbers,^(?!\u00a2),
148,numbers,"^\$?(\d{1,3},?(\d{3},?)*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{2})?)$","960,378423160,838882015392107504115"
149,numbers,^\d$,9
150,numbers,"^\d{1,5}(\.\d{1,2})?$",02952
151,numbers,"^\d{0,2}(\.\d{1,4})? *%?$",20   
152,numbers,^(?!\u00a2),
154,numbers,"(?!0,?\d)",
156,numbers,"(\,\d{3})*",",788,120,319,870,485,760,871"
158,numbers,(\.\d{2})?$,.88
159,numbers,"^([1-9]{0,1})([0-9]{1})(\.[0-9])?$",66.0
160,numbers,^-?\d*(\.\d+)?$,2676.761
161,numbers,([0-9]+\.[0-9]*)|([0-9]*\.[0-9]+)|([0-9]+),4074119292
162,numbers,(^[0-9]*[1-9]+[0-9]*\.[0-9]*$)|(^[0-9]*\.[0-9]*[1-9]+[0-9]*$)|(^[0-9]*[1-9]+[0-9]*$),0902325774159
163,numbers,(^\d*\.?\d*[0-9]+\d*$)|(^[0-9]+\d*\.\d*$),005188258584900.76716174
164,numbers,"(^\d{3,5}\,\d{2}$)|(^\d{3,5}$)","6919,87"
165,numbers,(^([0-9]+[.]+[0-9]+)|(0)$),0
166,numbers,^\d+$,13954
167,numbers,^([0-5]?\d?\d?\d?\d|6[0-4]\d\d\d|65[0-4]\d\d|655[0-2]\d|6553[0-5])$,64695
168,numbers,^[1-5]$,5
169,numbers,"^\$(\d{1,3}(\,\d{3})*|(\d+))(\.\d{2})?$","$74,430,601,526,272,884,133,924,796"
170,numbers,"^0$|^[1-9][0-9]*$|^[1-9][0-9]{0,2}(,[0-9]{3})$","6,102"
171,numbers,^([0-9]*|\d*\.\d{1}?\d*)$,757
172,numbers,^[0-9]*(\.)?[0-9]+$,79606.531748994
173,numbers,^[+-]?([0-9]*\.?[0-9]+|[0-9]+\.?[0-9]*)([eE][+-]?[0-9]+)?$,+364692125E1
174,numbers,"(^(\+?\-? *[0-9]+)([,0-9 ]*)([0-9 ])*$)|(^ *$)",   
175,numbers,^[1-9]{1}$|^[1-4]{1}[0-9]{1}$|^50$,43
176,numbers,^[-+]?[1-9]\d*\.?[0]*$,+210894.0
177,numbers,"^(\d|,)*\d*$",408674084594
178,numbers,^(\+|-)?\d+$,-544456329
179,numbers,^1?[1-9]$|^[1-2]0$,20
180,numbers,"^((4\d{3})|(5[1-5]\d{2}))(-?|\040?)(\d{4}(-?|\040?)){3}|^(3[4,7]\d{2})(-?|\040?)\d{6}(-?|\040?)\d{5}",4050-44154937-3814
181,numbers,^\d* \d*\/{1}\d*$|^\d*$,138
182,numbers,(^-\d*\.?\d*[1-9]+\d*$)|(^-[1-9]+\d*\.\d*$),-52.015983448531
183,numbers,"\$[0-9]?[0-9]?[0-9]?((\,[0-9][0-9][0-9])*)?(\.[0-9][0-9]?)?$",$761
184,numbers,"^\d+(?:\.\d{0,2})?$",49430
185,numbers,"^(([+]\d{2}[ ][1-9]\d{0,2}[ ])|([0]\d{1,3}[-]))((\d{2}([ ]\d{2}){2})|(\d{3}([ ]\d{3})*([ ]\d{2})+))$",+50 323 668 569 405 672 364 461 029 911 683 595 247 71 05 88 03 66 09 20
186,numbers,^[+]?\d*$,
187,numbers,"^\d{1,7}$",9697595
188,numbers,"^\$?(\d{1,3}(\,\d{3})*|(\d+))(\.\d{0,2})?$","87,072,768,097,983,648.7"
189,numbers,^\d(\d)?(\d)?$,94
190,numbers,^[1]$|^[3]$|^[4]$|^[6]$|^[1]0$,3
191,numbers,"^(\d|,)*\.?\d*$",",07,.86"
192,numbers,^\d?\d'(\d|1[01])&quot;$,6'11&quot;
193,numbers,^[-+]?\d*$,+368636
194,numbers,"(^(((\d)|(\d\d)|(\d\d\d))(\xA0|\x20))*((\d)|(\d\d)|(\d\d\d))([,.]\d*)?$)",213 4 83 8 477 510
195,numbers,"^[-+]?[0-9]\d{0,2}(\.\d{1,2})?%?$",-95
196,numbers,"^\-?\(?([0-9]{0,3}(\,?[0-9]{3})*(\.?[0-9]*))\)?$","093,474931.1543)"
197,numbers,^\d*$,04
198,numbers,(^[0]{1}$|^[-]?[1-9]{1}\d*$),362163
199,numbers,"$%  \d{1,2}(?:\.\d{1,2})?",%  1
200,numbers,^\$?\d+(\.(\d{2}))?$,2853589862
201,numbers,^[-+]?[0-9]+[.]?[0-9]*([eE][-+]?[0-9]+)?$,+18.13e+6949
202,numbers,^([1-9]|[1-9]\d|100)$,75
203,numbers,^[-+]?\d*\.?\d*$,52010632.8335620956
204,numbers,"^\$[+-]?([0-9]+|[0-9]{1,3}(,[0-9]{3})*)(\.[0-9]{1,2})?$",$-0528638638.6
205,numbers,"^\$?(\d{1,3},?(\d{3},?)*\d{3}(\.\d{0,2})?|\d{1,3}(\.\d{0,2})?|\.\d{1,2}?)$","$56558484,297039,232114,588,561135,444,270"
206,numbers,"^[-]?([1-9]{1}[0-9]{0,}(\.[0-9]{0,2})?|0(\.[0-9]{0,2})?|\.[0-9]{1,2})$",.01
207,numbers,^[-+]?\d+(\.\d+)?|[-+]?\.\d+?$,.237236
209,numbers,"(?!^0*$)(?!^0*\.0*$)^\d{1,5}(\.\d{1,3})?$",946
210,numbers,"(^N/A$)|(^[-]?(\d+)(\.\d{0,3})?$)|(^[-]?(\d{1,3},(\d{3},)*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{1,3})?)$)",-65.8
211,numbers,"(^\$(\d{1,3},?(\d{3},?)*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{2})?)$|^\d{1,2}(\.\d{1,2})? *%$|^100%$)",100%
212,numbers,"^\d{1,8}$|^\d{1,3},\d{3}$|^\d{1,2},\d{3},\d{3}$","6,585,648"
213,numbers,"^([1-9]{1}[0-9]{0,7})+((,[1-9]{1}[0-9]{0,7}){0,1})+$",8232274853111702121795745
214,numbers,"^([0-9]*\,?[0-9]+|[0-9]+\,?[0-9]*)?$",
215,numbers,"\$[0-9]?[0-9]?[0-9]?((\,[0-9][0-9][0-9])*)?(\.[0-9][0-9])?$",$33
216,numbers,"^(\$)?((\d+)|(\d{1,3})(\,\d{3})*)(\.\d{2,})?$",8619226.15
217,numbers,"^1000([.][0]{1,3})?$|^\d{1,3}$|^\d{1,3}([.]\d{1,3})$|^([.]\d{1,3})$",.025
218,numbers,"^((\d{1,2})?([.][\d]{1,2})?){1}[%]{1}$",62.5%
219,numbers,"(\d{1,3},(\d{3},)*\d{3}(\.\d{1,3})?|\d{1,3}(\.\d{3})?)$","22,291,010,525,795.130"
220,numbers,"^(\-)?1000([.][0]{1,3})?$|^(\-)?\d{1,3}$|^(\-)?\d{1,3}([.]\d{1,3})$|^(\-)?([.]\d{1,3})$",1000.000
222,numbers,"^\-?[0-9]{1,3}(\,[0-9]{3})*(\.[0-9]+)?$|^[0-9]+(\.[0-9]+)?$",01
223,numbers,"(0|(\+)?([1-9]{1}[0-9]{0,1}|[1]{1}[0-9]{0,2}|[2]{1}([0-4]{1}[0-9]{1}|[5]{1}[0-5]{1})))",0
224,numbers,(^[+]?\d*\.?\d*[1-9]+\d*$)|(^[+]?[1-9]+\d*\.\d*$),+552847566241384912709
225,numbers,"^(0|[-]{1}([1-9]{1}[0-9]{0,1}|[1]{1}([0-1]{1}[0-9]{1}|[2]{1}[0-8]{1}))|(\+)?([1-9]{1}[0-9]{0,1}|[1]{1}([0-1]{1}[0-9]{1}|[2]{1}[0-7]{1})))$",-125
226,numbers,"^(\$\ |\$)?((0|00|[1-9]\d*|([1-9]\d{0,2}(\,\d{3})*))(\.\d{1,4})?|(\.\d{1,4}))$",.1393
227,numbers,"^\$( )*\d*(.\d{1,2})?$",$        6634340911]4
228,numbers,"^(?=.*[1-9].*$)\d{0,7}(?:\.\d{0,9})?$",HURD#at`'53Gdf-u19
229,numbers,^[0-9]+$,484408255
230,numbers,"^-?[0-9]{0,2}(\.[0-9]{1,2})?$|^-?(100)(\.[0]{1,2})?$",8
231,numbers,^(0)$|^([1-9][0-9]*)$,5102285312
232,numbers,^[12345]$,4
233,numbers,"^(0|[-]{1}([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-8]{1})))))|(\+)?([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-7]{1}))))))$",+30020
234,numbers,"^(0|(\+)?([1-9]{1}[0-9]{0,3})|([1-5]{1}[0-9]{1,4}|[6]{1}([0-4]{1}[0-9]{3}|[5]{1}([0-4]{1}[0-9]{2}|[5]{1}([0-2]{1}[0-9]{1}|[3]{1}[0-5]{1})))))$",357
235,numbers,"(0|[1-9]{1}[0-9]{0,8}|[1]{1}[0-9]{1,9}|[-]{1}[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-8]{1}))))))))|(\+)?[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-7]{1})))))))))",19954
236,numbers,"^\d*[0-9](|.\d*[0-9]|,\d*[0-9])?$",338495459
237,numbers,"(?!^0*$)(?!^0*\.0*$)^\d{1,5}(\.\d{1,2})?$",56.82
238,numbers,"(^[0-9]{1,8}|(^[0-9]{1,8}\.{0,1}[0-9]{1,2}))$",83606399
240,strings,"(?!^[0-9]*$)(?!^[a-zA-Z]*$)^([a-zA-Z0-9]{6,15})$",8eBVW33Fx0
241,strings,"^((4\d{3})|(5[1-5]\d{2})|(6011))-?\d{4}-?\d{4}-?\d{4}|3[4,7]\d{13}$",4337-836088200537
242,strings,^([A-HK-PRSVWY][A-HJ-PR-Y])\s?([0][2-9]|[1-9][0-9])\s?[A-HJ-PR-Z]{3}$,DV92HBU
243,strings,"^[A-CEGHJ-PR-TW-Z]{1}[A-CEGHJ-NPR-TW-Z]{1}[0-9]{6}[A-DFM]{0,1}$",OZ968234
244,strings,"^([\s\S]){1,20}([\s\.])",*Fjmfl?)Z	.
245,strings,"^([A-Z]{1}[a-z]{1,})$|^([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$|^([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$|^$",Gnlvt
246,strings,"(^|\s)(00[1-9]|0[1-9]0|0[1-9][1-9]|[1-6]\d{2}|7[0-6]\d|77[0-2])(-?|[\. ])([1-9]0|0[1-9]|[1-9][1-9])\3(\d{3}[1-9]|[1-9]\d{3}|\d[1-9]\d{2}|\d{2}[1-9]\d)($|\s|[;:,!\.\?])",771-30-6711
248,strings,"\w{5,255}",IeRMc
249,strings,^[a-zA-Z0-9]+$,IPxW
250,strings,"^([1-9]{1}(([0-9])?){2})+(,[0-9]{1}[0-9]{2})*$","8312829233228,039,559,825,331,693,137,868,027"
251,strings,^(\d{4}-){3}\d{4}$|^(\d{4} ){3}\d{4}$|^\d{16}$,3920130982611646
252,strings,^(?!000)([0-6]\d{2}|7([0-6]\d|7[012]))([ -]?)(?!00)\d\d\3(?!0000)\d{4}$,772-21-4843
253,strings,(script)|(&lt;)|(&gt;)|(%3c)|(%3e)|(SELECT) |(UPDATE) |(INSERT) |(DELETE)|(GRANT) |(REVOKE)|(UNION)|(&amp;lt;)|(&amp;gt;),INSERT 
254,strings,"^(?=[^\d_].*?\d)\w(\w|[!@#$%]){7,20}",uLv116c8Trn4
255,strings,^([0-9a-fA-F]){8}$,D6B8E6ac
256,strings,"[v,V,(\\/)](\W|)[i,I,1,l,L](\W|)[a,A,@,(\/\\)](\W|)[g,G](\W|)[r,R](\W|)[a,A,@,(\/\\))]","VI(A+,R)"
257,strings,"^([A-Z|a-z|&amp;]{3}\d{2}((0[1-9]|1[012])(0[1-9]|1\d|2[0-8])|(0[13456789]|1[012])(29|30)|(0[13578]|1[02])31)|([02468][048]|[13579][26])0229)(\w{2})([A|a|0-9]{1})$|^([A-Z|a-z]{4}\d{2}((0[1-9]|1[012])(0[1-9]|1\d|2[0-8])|(0[13456789]|1[012])(29|30)|(0[13578]|1[02])31)|([02468][048]|[13579][26])0229)((\w{2})([A|a|0-9]{1})){0,3}$",V|AK920930DM9EG3
258,strings,"^([A-Za-z0-9]\s?)+([,]\s?([A-Za-z0-9]\s?)+)*$","8s,Hx tc68Wu,R,z	wbLKe	hY D,Eou 3	,B	Gi	sS	ACO f,Vj ,	gZW P6Qtg	iy,q6 ,w 1 Pt1 ck J,t"
259,strings,^[{|\(]?[0-9a-fA-F]{8}[-]?([0-9a-fA-F]{4}[-]?){3}[0-9a-fA-F]{12}[\)|}]?$,|7e4cAB23-4cF544f34d0b-3Db1E06D1AAD)
260,strings,"^[\.\w&#230;&#248;&#229;-]+@([a-z&#230;&#248;&#229;0-9]+([\.-]{0,1}[a-z&#230;&#248;&#229;0-9]+|[a-z&#230;&#248;&#229;0-9]?))+\.[a-z]{2,6}$",tB20@v1mhe43.#sawy;ecorv8egvw90.ffnjq
262,strings,"((\\)|[^""(\\"")])+""","K\r\YD\\p\"""
263,strings,"^((?:4\d{3})|(?:5[1-5]\d{2})|(?:6011)|(?:3[68]\d{2})|(?:30[012345]\d))[ -]?(\d{4})[ -]?(\d{4})[ -]?(\d{4}|3[4,7]\d{13})$","3835 0168 02323,0495184045417"
264,strings,^([30|36|38]{2})([0-9]{12})$,00998930735307
265,strings,^([51|52|53|54|55]{2})([0-9]{14})$,4138889899051590
266,strings,&lt;[^&gt;]+&gt;,&lt;eAf>h&gt;
267,strings,"^\s*[a-zA-Z,\s]+\s*$", 		  	m	 
268,strings,^\d{9}[\d|X]$,2203824866
269,strings,"^([1-zA-Z0-1@.\s]{1,255})$",G?1XK
270,strings,"^[0-9]{1,}(,[0-9]+){0,}$","7370239,552927,569912,826781,051430,270179826,174572809,744"
271,strings,.*[Pp]en[Ii1][\$s].*,6n	2UwpenI$	A2Ccer)j
272,strings,.*[Oo0][Ee][Mm].*,'~#LOeMze^|
274,strings,.*[Pp]re[Ss\$]cr[iI1]pt.*,wprescriptA
275,strings,^(?!^(PRN|AUX|CLOCK\$|NUL|CON|COM\d|LPT\d|\..*)(\..+)?$)[^\x00-\x1f\\?*&lt;&gt;:\;|\&quot;/]+$,Ae>2TvW-nP
276,strings,foo,foo
277,strings,"[\\s+,]",\
278,strings,"^([1-9]{1}[0-9]{3}[,]?)*([1-9]{1}[0-9]{3})$","9269,58867446,972527284905,6693"
279,strings,^[a-zA-Z]$,K
282,strings,^([A-Z]{3}\s?(\d{3}|\d{2}|d{1})\s?[A-Z])|([A-Z]\s?(\d{3}|\d{2}|\d{1})\s?[A-Z]{3})$,C2UHG
283,strings,(&#217;|&#218;|&#219;|&#220;|&#249;|&#250;|&#251;|&#252;|&#181;|&amp;#085;|&amp;#117;|&amp;#181;|&amp;micro;|&amp;#217;|&amp;#218;|&amp;#219;|&amp;#220;|&amp;Ugrave;|&amp;Uacute;|&amp;Ucirc;|&amp;Uuml;|&amp;#249;|&amp;#250;|&amp;#251;&amp;#252;|&amp;ugrave;|&amp;uacute;|&amp;ucirc;|&amp;uuml;),&amp;micro;
284,strings,(&#161;|&#204;|&#205;|&#206;|&#207;|&#236;|&#237;|&#238;|&#239;|&amp;#033;|&amp;#161;|&amp;iexcl;|&amp;#185;|&amp;sup1;|&amp;brvbar;|&amp;Igrave;|&amp;Iacute;|&amp;Icirc;|&amp;Iuml;|&amp;igrave;|&amp;iacute;|&amp;iuml;|&amp;#204;|&amp;#205;|&amp;#206;|&amp;#207;|&amp;#236;|&amp;#237;|&amp;#238;|&amp;#239;|&amp;#073;|&amp;#105;),&amp;#204;
285,strings,(&#210;|&#211;|&#212;|&#213;|&#214;|&#216;|&#240;|&#242;|&#243;|&#244;|&#245;|&#246;|&#248;|&amp;#048;|&amp;#079;|&amp;#111;|&amp;#210;|&amp;#211;|&amp;#212;|&amp;#213;|&amp;#214;|&amp;#216;|&amp;Ograve;|&amp;Oacute;|&amp;Ocirc;|&amp;Otilde;|&amp;Ouml;|&amp;Oslash;|&amp;#242;|&amp;#243;|&amp;#244;|&amp;#245;|&amp;ograve;|&amp;oacute;|&amp;ocirc;|&amp;otilde;|&amp;ouml;|&amp;oslash;),&amp;#048;
286,strings,(&#192;|&#193;|&#194;|&#195;|&#196;|&#197;|&#224;|&#225;|&#226;|&#227;|&#228;|&#229;|&amp;#097;|&amp;#065;|&amp;#064;|&amp;commat;|&amp;alpha;|&amp;#192;|&amp;#193;|&amp;#194;|&amp;#195;|&amp;#196;|&amp;#197;|&amp;Agrave;|&amp;Aacute;|&amp;Acirc;|&amp;Atilde;|&amp;Auml;|&amp;Aring;|&amp;#224;|&amp;#225;|&amp;#226;|&amp;#227;|&amp;#228;|&amp;#229;|&amp;agrave;|&amp;aacute;|&amp;acirc;|&amp;atilde;|&amp;auml;|&amp;aring;),&amp;#228;
287,strings,(&#200;|&#201;|&#202;|&#203;|&#232;|&#233;|&#234;|&#235;|&amp;#069;|&amp;#101;|&amp;#200;|&amp;#201;|&amp;#202;|&amp;#203;|&amp;Egrave;|&amp;Eacute;|&amp;Ecirc;|&amp;Euml;|&amp;#232;|&amp;#233;|&amp;#234;|&amp;#235;|&amp;egrave;|&amp;eacute;|&amp;ecirc;|&amp;euml;),&amp;Egrave;
288,strings,.\{\d\},R{6}
289,strings,"^(?=.*\d)(?=.*[a-z])(?=.*[A-Z]).{8,15}$",|>{49!5E`a#)dI^0_AD?*+r?cZ
290,strings,"(?i)(pharmacy)|((p(.{1,3})?h(.{1,3})?a(.{1,3})?r(.{1,3)?m(.{1,3})?a(.{1,3})?c(.{1,3})?y))",pharmacy
291,strings,(\b)(\w+(\b|\n|\s)){3},Q5 v	G5
292,strings,^\.([rR]([aA][rR]|\d{2})|(\d{3})?)$,.R36
293,strings,^(\d{4}[- ]){3}\d{4}|\d{16}$,4090568225796366
294,strings,(\w+)\s+\1,aB 		aB
295,strings,^\d{3}-\d{2}-\d{4}$,022-90-1812
296,strings,(\d{6}[-\s]?\d{12})|(\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4}),1242873421614219
297,strings,^((Bob)|(John)|(Mary)).*$(?<!White),BobLF$1+c/	
298,strings,"ISBN\x20(?=.{13}$)\d{1,5}([- ])\d{1,7}\1\d{1,6}\1(\d|X)$","ISBN d""p;>cg_Jhk""(393-972-6060-6"
300,strings,(\w(\s)?)+,Ivld	B2 dY9
